TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating,ContinentId,RegionId,CountryId_x,CityId,CityName,Country,Region,Continent,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,AttractionType,AttractionCityName,CountryId_y,UserAvgRating,UserVisitCount,AttractionAvgRating,AttractionPopularity
24,655,2023,6,Couples,134,3,3,6,14,34,USA-West City 1,USA-West,North America West,North America,8,3,Historical Site #134,Nepal City 3 Main Road,Historical Site,Nepal City 3,3,3.4615384615384617,13,3.6953125,128
25,1505,2024,4,Couples,144,4,5,10,23,59,Samoa City 2,Samoa,Pacific Islands,Oceania,19,6,Adventure #144,Germany City 2 Main Road,Adventure,Germany City 2,8,3.125,8,3.7794117647058822,136
26,403,2022,11,Friends,135,3,1,1,3,7,Nepal City 2,Nepal,South Asia,Asia,33,5,Religious Site #135,Canada-East City 3 Main Road,Religious Site,Canada-East City 3,13,3.9166666666666665,12,3.449275362318841,138
27,1009,2019,10,Solo,88,3,4,7,17,43,Tanzania City 1,Tanzania,East Africa,Africa,17,7,Shopping #88,France City 2 Main Road,Shopping,France City 2,7,3.75,8,3.2892561983471076,121
28,1078,2023,12,Couples,51,4,5,9,20,51,Australia City 1,Australia,Australasia,Oceania,8,2,Museum #51,Nepal City 3 Main Road,Museum,Nepal City 3,3,3.875,8,3.382608695652174,115
29,1501,2024,5,Business,77,2,5,9,20,52,Australia City 2,Australia,Australasia,Oceania,9,1,Beach #77,Thailand City 1 Main Road,Beach,Thailand City 1,4,3.8181818181818183,11,4.094936708860759,158
30,1429,2020,7,Couples,120,4,5,9,21,53,New Zealand City 1,New Zealand,Australasia,Oceania,17,8,Wildlife #120,France City 2 Main Road,Wildlife,France City 2,7,3.4615384615384617,13,3.7816901408450705,142
31,930,2019,7,Couples,64,5,1,1,2,5,Sri Lanka City 3,Sri Lanka,South Asia,Asia,6,6,Adventure #64,Nepal City 1 Main Road,Adventure,Nepal City 1,3,3.75,12,3.8636363636363638,110
32,619,2020,3,Business,125,3,2,4,10,24,Poland City 2,Poland,Eastern Europe,Europe,14,4,Park #125,Indonesia City 2 Main Road,Park,Indonesia City 2,6,3.5555555555555554,9,3.4603174603174605,126
33,736,2023,12,Family,106,3,2,4,11,26,Romania City 2,Romania,Eastern Europe,Europe,34,1,Beach #106,USA-West City 1 Main Road,Beach,USA-West City 1,14,3.5454545454545454,11,4.041958041958042,143
34,824,2022,11,Business,32,3,3,5,13,32,Canada-East City 2,Canada-East,North America East,North America,30,4,Park #32,USA-East City 3 Main Road,Park,USA-East City 3,12,3.533333333333333,15,3.553030303030303,132
35,439,2019,12,Business,139,4,3,5,13,33,Canada-East City 3,Canada-East,North America East,North America,40,6,Adventure #139,Kenya City 1 Main Road,Adventure,Kenya City 1,16,3.466666666666667,15,3.7841726618705036,139
36,1251,2022,6,Friends,127,4,4,8,19,48,Ghana City 1,Ghana,West Africa,Africa,4,1,Beach #127,Sri Lanka City 2 Main Road,Beach,Sri Lanka City 2,2,3.7777777777777777,9,4.047244094488189,127
37,417,2023,2,Friends,90,4,5,9,21,54,New Zealand City 2,New Zealand,Australasia,Oceania,33,3,Historical Site #90,Canada-East City 3 Main Road,Historical Site,Canada-East City 3,13,3.5,6,3.7238805970149254,134
38,1298,2020,2,Couples,30,4,2,3,7,16,France City 1,France,Western Europe,Europe,22,4,Park #30,Spain City 2 Main Road,Park,Spain City 2,9,3.923076923076923,13,3.568345323741007,139
39,1503,2022,7,Friends,35,4,5,9,21,54,New Zealand City 2,New Zealand,Australasia,Oceania,10,8,Wildlife #35,Thailand City 2 Main Road,Wildlife,Thailand City 2,4,3.357142857142857,14,3.8805970149253732,134
40,1924,2020,10,Couples,126,3,3,6,14,34,USA-West City 1,USA-West,North America West,North America,49,3,Historical Site #126,Ghana City 2 Main Road,Historical Site,Ghana City 2,19,3.6,10,3.652482269503546,141
41,238,2019,9,Couples,3,4,3,5,13,32,Canada-East City 2,Canada-East,North America East,North America,38,4,Park #3,Canada-West City 2 Main Road,Park,Canada-West City 2,15,3.642857142857143,14,3.5846153846153848,130
42,1520,2021,9,Business,73,3,4,8,19,49,Ghana City 2,Ghana,West Africa,Africa,18,1,Beach #73,Germany City 1 Main Road,Beach,Germany City 1,8,3.3636363636363638,11,3.907142857142857,140
43,172,2023,10,Couples,93,4,2,3,8,18,Germany City 1,Germany,Western Europe,Europe,34,5,Religious Site #93,USA-West City 1 Main Road,Religious Site,USA-West City 1,14,3.6,10,3.366412213740458,131
44,675,2023,11,Business,35,3,2,3,9,22,Spain City 2,Spain,Western Europe,Europe,10,8,Wildlife #35,Thailand City 2 Main Road,Wildlife,Thailand City 2,4,3.5,6,3.8805970149253732,134
45,353,2019,12,Family,130,3,4,7,17,43,Tanzania City 1,Tanzania,East Africa,Africa,55,1,Beach #130,New Zealand City 3 Main Road,Beach,New Zealand City 3,21,3.4285714285714284,14,4.151515151515151,132
46,325,2020,5,Friends,79,4,3,5,13,32,Canada-East City 2,Canada-East,North America East,North America,12,4,Park #79,Vietnam City 2 Main Road,Park,Vietnam City 2,5,3.3846153846153846,13,3.5508474576271185,118
47,351,2022,9,Business,10,3,1,1,3,6,Nepal City 1,Nepal,South Asia,Asia,6,4,Park #10,Nepal City 1 Main Road,Park,Nepal City 1,3,3.4166666666666665,12,3.504201680672269,119
48,88,2020,4,Couples,49,4,1,2,5,11,Vietnam City 1,Vietnam,Southeast Asia,Asia,12,4,Park #49,Vietnam City 2 Main Road,Park,Vietnam City 2,5,3.6666666666666665,9,3.5441176470588234,136
49,1647,2020,9,Couples,60,5,1,2,4,10,Thailand City 2,Thailand,Southeast Asia,Asia,10,1,Beach #60,Thailand City 2 Main Road,Beach,Thailand City 2,4,3.8461538461538463,13,3.900900900900901,111
50,123,2021,1,Couples,34,3,4,7,16,40,Kenya City 1,Kenya,East Africa,Africa,33,7,Shopping #34,Canada-East City 3 Main Road,Shopping,Canada-East City 3,13,3.7777777777777777,9,3.1564625850340136,147
51,798,2023,1,Friends,142,3,1,1,1,1,India City 1,India,South Asia,Asia,25,2,Museum #142,Romania City 1 Main Road,Museum,Romania City 1,11,3.6666666666666665,9,3.5365853658536586,123
52,1399,2022,3,Business,55,4,4,7,17,44,Tanzania City 2,Tanzania,East Africa,Africa,14,5,Religious Site #55,Indonesia City 2 Main Road,Religious Site,Indonesia City 2,6,3.6153846153846154,13,3.360294117647059,136
53,1981,2024,7,Family,76,4,5,9,20,52,Australia City 2,Australia,Australasia,Oceania,38,7,Shopping #76,Canada-West City 2 Main Road,Shopping,Canada-West City 2,15,4.066666666666666,15,3.164285714285714,140
54,1708,2019,11,Family,81,4,3,5,13,33,Canada-East City 3,Canada-East,North America East,North America,1,3,Historical Site #81,India City 1 Main Road,Historical Site,India City 1,1,3.625,8,3.6140350877192984,114
55,275,2021,8,Friends,34,2,4,8,18,46,Nigeria City 1,Nigeria,West Africa,Africa,33,7,Shopping #34,Canada-East City 3 Main Road,Shopping,Canada-East City 3,13,3.7,10,3.1564625850340136,147
56,1976,2022,7,Couples,86,3,1,2,6,14,Indonesia City 2,Indonesia,Southeast Asia,Asia,28,2,Museum #86,USA-East City 1 Main Road,Museum,USA-East City 1,12,3.5,8,3.3863636363636362,132
57,1308,2023,9,Business,54,2,3,6,14,34,USA-West City 1,USA-West,North America West,North America,20,7,Shopping #54,Germany City 3 Main Road,Shopping,Germany City 3,8,3.6923076923076925,13,3.208695652173913,115
58,360,2022,11,Business,2,3,5,10,22,57,Fiji City 2,Fiji,Pacific Islands,Oceania,47,6,Adventure #2,Nigeria City 2 Main Road,Adventure,Nigeria City 2,18,3.8125,16,3.808,125
59,898,2024,8,Family,62,4,3,6,15,39,Canada-West City 3,Canada-West,North America West,North America,38,4,Park #62,Canada-West City 2 Main Road,Park,Canada-West City 2,15,3.764705882352941,17,3.613138686131387,137
60,1836,2024,9,Family,88,2,4,8,19,48,Ghana City 1,Ghana,West Africa,Africa,17,7,Shopping #88,France City 2 Main Road,Shopping,France City 2,7,2.875,8,3.2892561983471076,121
61,786,2023,5,Family,18,4,5,10,22,56,Fiji City 1,Fiji,Pacific Islands,Oceania,10,6,Adventure #18,Thailand City 2 Main Road,Adventure,Thailand City 2,4,3.9166666666666665,12,3.699248120300752,133
62,368,2021,12,Business,117,2,5,10,23,59,Samoa City 2,Samoa,Pacific Islands,Oceania,26,4,Park #117,Romania City 2 Main Road,Park,Romania City 2,11,3.142857142857143,7,3.6214285714285714,140
63,1751,2020,6,Business,100,3,2,3,9,21,Spain City 1,Spain,Western Europe,Europe,39,2,Museum #100,Canada-West City 3 Main Road,Museum,Canada-West City 3,15,3.888888888888889,9,3.5163934426229506,122
64,1906,2022,11,Family,47,5,2,3,8,18,Germany City 1,Germany,Western Europe,Europe,28,8,Wildlife #47,USA-East City 1 Main Road,Wildlife,USA-East City 1,12,3.6666666666666665,12,3.9393939393939394,132
65,1952,2021,12,Business,89,4,1,2,5,11,Vietnam City 1,Vietnam,Southeast Asia,Asia,47,2,Museum #89,Nigeria City 2 Main Road,Museum,Nigeria City 2,18,3.75,12,3.479338842975207,121
66,1912,2019,11,Solo,46,4,3,6,14,35,USA-West City 2,USA-West,North America West,North America,5,4,Park #46,Sri Lanka City 3 Main Road,Park,Sri Lanka City 3,2,3.4615384615384617,13,3.645390070921986,141
67,1746,2020,4,Friends,98,3,2,3,8,20,Germany City 3,Germany,Western Europe,Europe,26,3,Historical Site #98,Romania City 2 Main Road,Historical Site,Romania City 2,11,3.5384615384615383,13,3.7152777777777777,144
68,909,2024,5,Couples,24,3,4,7,17,44,Tanzania City 2,Tanzania,East Africa,Africa,27,3,Historical Site #24,Romania City 3 Main Road,Historical Site,Romania City 3,11,3.6666666666666665,12,3.643410852713178,129
69,385,2021,10,Family,92,4,3,6,14,34,USA-West City 1,USA-West,North America West,North America,30,8,Wildlife #92,USA-East City 3 Main Road,Wildlife,USA-East City 3,12,3.8666666666666667,15,3.943661971830986,142
70,1235,2024,12,Business,9,2,4,8,18,46,Nigeria City 1,Nigeria,West Africa,Africa,14,2,Museum #9,Indonesia City 2 Main Road,Museum,Indonesia City 2,6,3.5625,16,3.4705882352941178,153
71,442,2020,8,Solo,3,4,2,3,9,22,Spain City 2,Spain,Western Europe,Europe,38,4,Park #3,Canada-West City 2 Main Road,Park,Canada-West City 2,15,3.4285714285714284,7,3.5846153846153848,130
72,947,2024,10,Family,39,4,1,1,2,3,Sri Lanka City 1,Sri Lanka,South Asia,Asia,44,6,Adventure #39,Tanzania City 2 Main Road,Adventure,Tanzania City 2,17,3.6363636363636362,11,3.831858407079646,113
73,1313,2023,6,Couples,27,4,3,5,13,32,Canada-East City 2,Canada-East,North America East,North America,46,8,Wildlife #27,Nigeria City 1 Main Road,Wildlife,Nigeria City 1,18,3.5454545454545454,11,3.88,125
74,1894,2021,11,Family,74,2,2,4,11,27,Romania City 3,Romania,Eastern Europe,Europe,15,7,Shopping #74,Indonesia City 3 Main Road,Shopping,Indonesia City 3,6,3.2,10,3.1285714285714286,140
75,579,2022,5,Business,25,4,1,1,2,3,Sri Lanka City 1,Sri Lanka,South Asia,Asia,53,1,Beach #25,New Zealand City 1 Main Road,Beach,New Zealand City 1,21,3.5,6,3.958904109589041,146
76,504,2024,8,Couples,37,3,4,7,16,41,Kenya City 2,Kenya,East Africa,Africa,41,7,Shopping #37,Kenya City 2 Main Road,Shopping,Kenya City 2,16,3.75,8,3.1470588235294117,136
77,1470,2022,7,Couples,15,3,2,3,9,21,Spain City 1,Spain,Western Europe,Europe,49,4,Park #15,Ghana City 2 Main Road,Park,Ghana City 2,19,3.4545454545454546,11,3.5867768595041323,121
78,13,2024,11,Couples,134,4,4,8,19,48,Ghana City 1,Ghana,West Africa,Africa,8,3,Historical Site #134,Nepal City 3 Main Road,Historical Site,Nepal City 3,3,3.8333333333333335,12,3.6953125,128
79,1133,2019,10,Business,111,3,1,1,2,4,Sri Lanka City 2,Sri Lanka,South Asia,Asia,33,4,Park #111,Canada-East City 3 Main Road,Park,Canada-East City 3,13,3.8,10,3.5434782608695654,138
80,1492,2019,11,Solo,33,4,5,9,21,53,New Zealand City 1,New Zealand,Australasia,Oceania,3,3,Historical Site #33,Sri Lanka City 1 Main Road,Historical Site,Sri Lanka City 1,2,3.6315789473684212,19,3.7615384615384615,130
81,1102,2019,2,Family,19,4,2,3,7,16,France City 1,France,Western Europe,Europe,45,6,Adventure #19,Tanzania City 3 Main Road,Adventure,Tanzania City 3,17,3.7777777777777777,9,3.813008130081301,123
82,768,2020,3,Friends,128,3,3,5,12,30,USA-East City 3,USA-East,North America East,North America,51,3,Historical Site #128,Australia City 1 Main Road,Historical Site,Australia City 1,20,3.727272727272727,11,3.7416666666666667,120
83,1658,2023,11,Business,101,4,3,6,15,39,Canada-West City 3,Canada-West,North America West,North America,28,8,Wildlife #101,USA-East City 1 Main Road,Wildlife,USA-East City 1,12,3.6666666666666665,9,3.8529411764705883,136
84,743,2024,2,Friends,133,4,2,4,10,23,Poland City 1,Poland,Eastern Europe,Europe,40,2,Museum #133,Kenya City 1 Main Road,Museum,Kenya City 1,16,3.5714285714285716,7,3.421875,128
86,929,2021,8,Family,54,4,2,4,11,25,Romania City 1,Romania,Eastern Europe,Europe,20,7,Shopping #54,Germany City 3 Main Road,Shopping,Germany City 3,8,3.6,10,3.208695652173913,115
87,54,2024,5,Friends,18,4,4,7,17,44,Tanzania City 2,Tanzania,East Africa,Africa,10,6,Adventure #18,Thailand City 2 Main Road,Adventure,Thailand City 2,4,3.7142857142857144,14,3.699248120300752,133
88,1062,2022,1,Family,64,4,2,4,10,23,Poland City 1,Poland,Eastern Europe,Europe,6,6,Adventure #64,Nepal City 1 Main Road,Adventure,Nepal City 1,3,3.7777777777777777,9,3.8636363636363638,110
89,99,2022,1,Family,25,4,4,7,16,41,Kenya City 2,Kenya,East Africa,Africa,53,1,Beach #25,New Zealand City 1 Main Road,Beach,New Zealand City 1,21,4.0,10,3.958904109589041,146
90,1862,2019,11,Friends,1,3,3,6,15,38,Canada-West City 2,Canada-West,North America West,North America,55,6,Adventure #1,New Zealand City 3 Main Road,Adventure,New Zealand City 3,21,3.3076923076923075,13,3.8137931034482757,145
91,1204,2020,2,Business,77,3,2,3,8,19,Germany City 2,Germany,Western Europe,Europe,9,1,Beach #77,Thailand City 1 Main Road,Beach,Thailand City 1,4,3.75,8,4.094936708860759,158
92,745,2023,9,Business,147,3,3,6,15,38,Canada-West City 2,Canada-West,North America West,North America,2,7,Shopping #147,India City 2 Main Road,Shopping,India City 2,1,3.3333333333333335,6,3.204379562043796,137
93,973,2023,2,Solo,97,2,3,5,13,31,Canada-East City 1,Canada-East,North America East,North America,7,5,Religious Site #97,Nepal City 2 Main Road,Religious Site,Nepal City 2,3,3.5,10,3.449367088607595,158
94,1239,2021,5,Friends,114,3,2,3,7,16,France City 1,France,Western Europe,Europe,36,2,Museum #114,USA-West City 3 Main Road,Museum,USA-West City 3,14,3.4,5,3.5538461538461537,130
95,521,2023,2,Family,122,3,1,1,2,3,Sri Lanka City 1,Sri Lanka,South Asia,Asia,59,5,Religious Site #122,Samoa City 2 Main Road,Religious Site,Samoa City 2,23,3.888888888888889,9,3.377952755905512,127
96,577,2023,8,Friends,146,5,3,6,15,37,Canada-West City 1,Canada-West,North America West,North America,20,8,Wildlife #146,Germany City 3 Main Road,Wildlife,Germany City 3,8,3.5384615384615383,13,3.9603174603174605,126
97,838,2019,2,Friends,20,3,3,6,14,35,USA-West City 2,USA-West,North America West,North America,42,5,Religious Site #20,Kenya City 3 Main Road,Religious Site,Kenya City 3,16,3.5625,16,3.2666666666666666,105
98,518,2024,8,Family,38,4,2,3,8,18,Germany City 1,Germany,Western Europe,Europe,55,3,Historical Site #38,New Zealand City 3 Main Road,Historical Site,New Zealand City 3,21,3.3636363636363638,11,3.603448275862069,116
99,1516,2023,12,Business,93,3,1,2,6,14,Indonesia City 2,Indonesia,Southeast Asia,Asia,34,5,Religious Site #93,USA-West City 1 Main Road,Religious Site,USA-West City 1,14,3.5,6,3.366412213740458,131
100,208,2020,9,Family,124,4,3,6,14,36,USA-West City 3,USA-West,North America West,North America,3,7,Shopping #124,Sri Lanka City 1 Main Road,Shopping,Sri Lanka City 1,2,3.8,5,3.1968503937007875,127
101,1654,2020,8,Couples,117,3,5,9,21,55,New Zealand City 3,New Zealand,Australasia,Oceania,26,4,Park #117,Romania City 2 Main Road,Park,Romania City 2,11,3.4166666666666665,12,3.6214285714285714,140
102,698,2024,11,Business,110,2,1,1,2,4,Sri Lanka City 2,Sri Lanka,South Asia,Asia,6,6,Adventure #110,Nepal City 1 Main Road,Adventure,Nepal City 1,3,3.6666666666666665,9,3.780701754385965,114
103,1123,2020,10,Solo,47,4,1,1,2,3,Sri Lanka City 1,Sri Lanka,South Asia,Asia,28,8,Wildlife #47,USA-East City 1 Main Road,Wildlife,USA-East City 1,12,3.875,8,3.9393939393939394,132
104,316,2019,9,Friends,55,3,4,8,18,47,Nigeria City 2,Nigeria,West Africa,Africa,14,5,Religious Site #55,Indonesia City 2 Main Road,Religious Site,Indonesia City 2,6,3.0,9,3.360294117647059,136
105,771,2019,7,Friends,12,4,2,4,10,24,Poland City 2,Poland,Eastern Europe,Europe,53,4,Park #12,New Zealand City 1 Main Road,Park,New Zealand City 1,21,3.5555555555555554,9,3.6030534351145036,131
106,1510,2020,5,Family,48,3,3,6,14,35,USA-West City 2,USA-West,North America West,North America,47,2,Museum #48,Nigeria City 2 Main Road,Museum,Nigeria City 2,18,3.6363636363636362,11,3.481203007518797,133
107,542,2022,8,Couples,24,3,4,8,19,50,Ghana City 3,Ghana,West Africa,Africa,27,3,Historical Site #24,Romania City 3 Main Road,Historical Site,Romania City 3,11,3.4615384615384617,13,3.643410852713178,129
108,265,2021,2,Family,141,3,1,1,3,6,Nepal City 1,Nepal,South Asia,Asia,24,3,Historical Site #141,Poland City 2 Main Road,Historical Site,Poland City 2,10,3.5833333333333335,12,3.7384615384615385,130
109,1044,2023,11,Family,14,5,2,3,8,18,Germany City 1,Germany,Western Europe,Europe,51,2,Museum #14,Australia City 1 Main Road,Museum,Australia City 1,20,3.5833333333333335,12,3.475806451612903,124
110,325,2020,11,Family,55,3,3,5,13,32,Canada-East City 2,Canada-East,North America East,North America,14,5,Religious Site #55,Indonesia City 2 Main Road,Religious Site,Indonesia City 2,6,3.3846153846153846,13,3.360294117647059,136
111,630,2020,4,Business,134,3,3,6,15,37,Canada-West City 1,Canada-West,North America West,North America,8,3,Historical Site #134,Nepal City 3 Main Road,Historical Site,Nepal City 3,3,3.7333333333333334,15,3.6953125,128
112,901,2021,10,Friends,144,4,3,6,15,39,Canada-West City 3,Canada-West,North America West,North America,19,6,Adventure #144,Germany City 2 Main Road,Adventure,Germany City 2,8,3.857142857142857,7,3.7794117647058822,136
113,1129,2023,9,Couples,57,4,1,1,2,3,Sri Lanka City 1,Sri Lanka,South Asia,Asia,40,2,Museum #57,Kenya City 1 Main Road,Museum,Kenya City 1,16,4.0,9,3.424778761061947,113
114,1279,2022,11,Couples,70,5,4,7,17,44,Tanzania City 2,Tanzania,East Africa,Africa,50,1,Beach #70,Ghana City 3 Main Road,Beach,Ghana City 3,19,3.727272727272727,11,3.9285714285714284,112
115,1354,2023,11,Family,79,4,1,2,4,9,Thailand City 1,Thailand,Southeast Asia,Asia,12,4,Park #79,Vietnam City 2 Main Road,Park,Vietnam City 2,5,3.875,8,3.5508474576271185,118
116,1689,2019,9,Solo,124,2,2,4,10,24,Poland City 2,Poland,Eastern Europe,Europe,3,7,Shopping #124,Sri Lanka City 1 Main Road,Shopping,Sri Lanka City 1,2,3.75,12,3.1968503937007875,127
117,133,2021,12,Couples,116,4,3,5,13,33,Canada-East City 3,Canada-East,North America East,North America,21,5,Religious Site #116,Spain City 1 Main Road,Religious Site,Spain City 1,9,3.8333333333333335,12,3.436974789915966,119
118,725,2021,4,Business,79,2,3,6,14,36,USA-West City 3,USA-West,North America West,North America,12,4,Park #79,Vietnam City 2 Main Road,Park,Vietnam City 2,5,3.4444444444444446,9,3.5508474576271185,118
119,3,2019,6,Solo,56,4,1,2,6,14,Indonesia City 2,Indonesia,Southeast Asia,Asia,34,5,Religious Site #56,USA-West City 1 Main Road,Religious Site,USA-West City 1,14,4.3,10,3.3658536585365852,123
120,19,2020,2,Solo,56,3,2,3,8,18,Germany City 1,Germany,Western Europe,Europe,34,5,Religious Site #56,USA-West City 1 Main Road,Religious Site,USA-West City 1,14,3.5,8,3.3658536585365852,123
121,425,2020,11,Couples,98,4,2,3,8,19,Germany City 2,Germany,Western Europe,Europe,26,3,Historical Site #98,Romania City 2 Main Road,Historical Site,Romania City 2,11,3.5,6,3.7152777777777777,144
122,1197,2021,4,Friends,126,5,3,5,12,28,USA-East City 1,USA-East,North America East,North America,49,3,Historical Site #126,Ghana City 2 Main Road,Historical Site,Ghana City 2,19,3.6666666666666665,9,3.652482269503546,141
123,1790,2019,7,Solo,12,2,5,9,21,54,New Zealand City 2,New Zealand,Australasia,Oceania,53,4,Park #12,New Zealand City 1 Main Road,Park,New Zealand City 1,21,3.1666666666666665,12,3.6030534351145036,131
124,1548,2020,2,Business,116,4,1,1,2,3,Sri Lanka City 1,Sri Lanka,South Asia,Asia,21,5,Religious Site #116,Spain City 1 Main Road,Religious Site,Spain City 1,9,3.8,15,3.436974789915966,119
125,1293,2024,4,Friends,73,5,1,2,5,11,Vietnam City 1,Vietnam,Southeast Asia,Asia,18,1,Beach #73,Germany City 1 Main Road,Beach,Germany City 1,8,3.9166666666666665,12,3.907142857142857,140
126,1557,2019,9,Couples,22,4,1,1,3,6,Nepal City 1,Nepal,South Asia,Asia,5,8,Wildlife #22,Sri Lanka City 3 Main Road,Wildlife,Sri Lanka City 3,2,3.3,10,3.85,160
127,344,2023,4,Friends,15,3,3,5,12,30,USA-East City 3,USA-East,North America East,North America,49,4,Park #15,Ghana City 2 Main Road,Park,Ghana City 2,19,3.5,12,3.5867768595041323,121
128,1680,2022,7,Business,51,3,2,4,10,24,Poland City 2,Poland,Eastern Europe,Europe,8,2,Museum #51,Nepal City 3 Main Road,Museum,Nepal City 3,3,3.5833333333333335,12,3.382608695652174,115
129,1781,2019,6,Family,38,3,1,1,3,8,Nepal City 3,Nepal,South Asia,Asia,55,3,Historical Site #38,New Zealand City 3 Main Road,Historical Site,New Zealand City 3,21,3.5,12,3.603448275862069,116
130,191,2021,8,Friends,16,4,4,8,19,49,Ghana City 2,Ghana,West Africa,Africa,17,2,Museum #16,France City 2 Main Road,Museum,France City 2,7,3.6,15,3.527027027027027,148
131,940,2022,4,Business,45,3,2,4,11,27,Romania City 3,Romania,Eastern Europe,Europe,22,1,Beach #45,Spain City 2 Main Road,Beach,Spain City 2,9,3.1666666666666665,12,3.9318181818181817,132
