TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating
67,1746,2020,4,Friends,98,3.0
68,909,2024,5,Couples,24,3.0
69,385,2021,10,Family,92,4.0
70,1235,2024,12,Business,9,2.0
71,442,2020,8,Solo,3,4.0
72,947,2024,10,Family,39,4.0
73,1313,2023,6,Couples,27,4.0
74,1894,2021,11,Family,74,2.0
75,579,2022,5,Business,25,4.0
76,504,2024,8,Couples,37,3.0
77,1470,2022,7,COUPLES,15,3.0
78,13,2024,11,Couples,134,4.0
79,1133,2019,10,Business,111,3.0
80,1492,2019,11,Solo,33,4.0
81,1102,2019,2,Family,19,4.0
82,768,2020,3,Friends,128,3.0
83,1658,2023,11,Business,101,4.0
84,743,2024,2,Friends,133,4.0
85,1422,2022,10,Family,27,
86,929,2021,8,Family,54,4.0
87,54,2024,5,Friends,18,4.0
88,1062,2022,1,Family,64,4.0
89,99,2022,1,Family,25,4.0
90,1862,2019,11,Friends,1,3.0
91,1204,2020,2,BUSINESS,77,3.0
92,745,2023,9,Business,147,3.0
93,973,2023,2,Solo,97,2.0
94,1239,2021,5,Friends,114,3.0
95,521,2023,2,Family,122,3.0
96,577,2023,8,Friends,146,5.0
97,838,2019,2,Friends,20,3.0
98,518,2024,8,Family,38,4.0
99,1516,2023,12,Business,93,3.0
100,208,2020,9,Family,124,4.0
101,1654,2020,8,Couples,117,3.0
102,698,2024,11,Business,110,2.0
103,1123,2020,10,Solo,47,4.0
104,316,2019,9,Friends,55,3.0
105,771,2019,7,Friends,12,4.0
106,1510,2020,5,Family,48,3.0
107,542,2022,8,Couples,24,3.0
108,265,2021,2,Family,141,3.0
109,1044,2023,11,Family,14,5.0
110,325,2020,11,Family,55,3.0
111,630,2020,4,Business,134,3.0
112,901,2021,10,Friends,144,4.0
113,1129,2023,9,Couples,57,4.0
114,1279,2022,11,Couples,70,5.0
115,1354,2023,11,Family,79,4.0
116,1689,2019,9,Solo,124,2.0
117,133,2021,12,Couples,116,4.0
118,725,2021,4,Business,79,2.0
119,3,2019,6,Solo,56,4.0
120,19,2020,2,Solo,56,3.0
121,425,2020,11,Couples,98,4.0
122,1197,2021,4,Friends,126,5.0
123,1790,2019,7,Solo,12,2.0
124,1548,2020,2,Business,116,4.0
125,1293,2024,4,Friends,73,5.0
126,1557,2019,9,Couples,22,4.0
127,344,2023,4,Friends,15,3.0
128,1680,2022,7,Business,51,3.0
129,1781,2019,6,Family,38,3.0
130,191,2021,8,Friends,16,4.0
131,940,2022,4,Business,45,3.0
132,1661,2020,6,FRIENDS,126,3.0
133,953,2020,1,Business,108,4.0
134,1681,2023,7,Business,32,3.0
135,1872,2019,2,Solo,102,3.0
136,950,2024,9,Solo,68,3.0
137,119,2020,11,Friends,113,4.0
138,681,2021,5,Friends,38,4.0
139,431,2019,11,Business,10,3.0
140,949,2024,5,Family,47,4.0
141,1172,2020,11,Friends,150,3.0
142,928,2023,7,FRIENDS,84,3.0
143,391,2020,7,Couples,9,4.0
144,603,2019,5,Couples,147,3.0
145,1360,2021,12,Family,124,3.0
146,54,2022,9,Business,82,3.0
147,429,2021,6,Friends,112,
148,1785,2024,10,Couples,28,4.0
149,199,2022,6,Family,89,4.0
150,830,2023,11,Couples,137,4.0
151,414,2021,6,Friends,66,3.0
152,210,2019,10,Solo,6,5.0
153,846,2021,4,Family,114,4.0
154,1043,2022,7,Solo,110,4.0
155,353,2021,8,Family,111,3.0
156,156,2023,7,Couples,98,4.0
157,270,2024,6,Friends,21,4.0
158,1304,2019,1,Business,18,4.0
159,1721,2019,12,Couples,119,4.0
160,361,2020,3,Family,129,4.0
161,641,2022,3,Couples,12,3.0
162,688,2019,10,Friends,88,2.0
163,722,2020,1,Family,76,2.0
164,489,2021,10,Couples,53,4.0
165,111,2021,5,Couples,97,3.0
166,1051,2024,9,Couples,138,4.0
167,715,2022,3,Friends,124,4.0
168,685,2024,9,Business,23,4.0
169,530,2023,12,FRIENDS,70,3.0
170,1859,2021,7,Business,141,4.0
171,1221,2024,7,Couples,36,4.0
172,838,2024,8,FAMILY,129,3.0
173,411,2021,5,Couples,74,3.0
174,1603,2024,7,Family,79,3.0
175,1777,2020,8,Family,38,4.0
176,65,2020,1,Couples,138,3.0
177,1860,2023,6,Family,80,4.0
178,1399,2023,7,Solo,87,4.0
179,200,2020,3,Business,70,4.0
180,1507,2023,6,Family,14,4.0
181,215,2022,5,Couples,118,3.0
182,102,2022,7,Friends,50,4.0
183,231,2024,4,Business,37,
184,920,2019,11,Business,118,4.0
185,1240,2021,8,Family,30,3.0
186,815,2020,8,Family,103,3.0
187,244,2022,10,Business,72,3.0
188,399,2019,1,Friends,120,3.0
189,1705,2019,4,Couples,8,
190,1926,2023,3,Solo,117,4.0
191,1509,2019,8,Solo,35,4.0
192,207,2021,5,Friends,131,3.0
193,1640,2024,9,Friends,54,3.0
194,1384,2024,12,Family,2,3.0
195,1053,2020,5,Friends,74,5.0
196,287,2024,4,Couples,9,5.0
197,1994,2021,6,Friends,41,4.0
198,886,2020,6,Family,108,4.0
199,89,2022,5,Friends,85,4.0
200,420,2021,5,Family,107,4.0
201,803,2021,5,FAMILY,132,3.0
202,125,2021,6,Couples,71,5.0
203,648,2019,6,Family,82,4.0
204,937,2020,6,Couples,9,3.0
205,1898,2020,4,Friends,44,4.0
206,173,2024,8,Couples,109,4.0
207,1154,2021,6,Solo,10,1.0
208,1832,2022,3,Friends,54,3.0
209,1613,2021,10,Friends,21,2.0
210,1850,2024,11,Solo,129,4.0
211,341,2023,5,Family,85,3.0
212,1603,2023,7,Friends,97,3.0
213,1958,2020,12,Family,103,3.0
214,653,2020,4,Business,34,4.0
215,998,2024,3,Business,8,3.0
216,1062,2024,5,Business,60,5.0
217,988,2020,6,Couples,28,5.0
218,580,2021,6,Couples,49,5.0
219,1942,2020,8,Solo,48,2.0
220,1913,2023,4,Couples,118,3.0
221,762,2024,7,Solo,48,4.0
222,1611,2024,2,Friends,23,4.0
223,796,2024,12,Friends,144,4.0
224,1590,2021,4,Friends,8,4.0
225,1170,2020,4,Solo,31,4.0
226,941,2024,2,Business,53,2.0
227,257,2021,5,FAMILY,10,3.0
228,1310,2020,12,Couples,135,4.0
229,643,2024,8,Couples,53,4.0
230,434,2021,9,Family,118,3.0
231,387,2019,8,Family,21,4.0
232,1964,2024,5,Solo,79,3.0
233,207,2020,10,Couples,19,4.0
234,1598,2020,5,Solo,35,4.0
235,1733,2022,10,Couples,62,
236,63,2020,12,Family,130,5.0
237,1179,2023,1,Couples,46,3.0
238,1155,2023,3,Solo,114,4.0
239,718,2022,10,Family,14,4.0
240,1334,2020,2,Business,38,2.0
241,818,2021,9,Solo,91,4.0
242,880,2020,3,Couples,71,4.0
243,864,2024,8,Solo,76,3.0
244,1602,2023,8,Business,102,4.0
245,1267,2019,4,Couples,12,5.0
246,759,2022,11,Couples,105,4.0
247,1854,2023,11,Family,130,4.0
248,1605,2022,3,Friends,115,4.0
249,1866,2019,9,Family,43,5.0
250,1462,2019,9,Business,53,3.0
251,783,2023,4,Family,145,5.0
252,1546,2022,10,Family,119,3.0
253,659,2022,4,Couples,140,3.0
254,542,2020,4,Family,138,4.0
255,903,2020,9,Family,66,3.0
256,1939,2021,2,Family,20,3.0
257,1136,2022,12,Family,35,5.0
258,768,2021,5,Couples,45,4.0
259,924,2024,6,Solo,126,4.0
260,583,2020,9,Friends,42,2.0
261,1318,2021,11,Friends,55,4.0
262,701,2020,10,Friends,128,3.0
263,1109,2019,5,Family,25,4.0
264,740,2021,9,Solo,100,3.0
265,642,2019,5,Couples,83,4.0
266,1941,2021,7,Family,148,4.0
267,692,2022,9,FRIENDS,74,2.0
268,142,2021,7,Friends,79,4.0
269,758,2023,1,Family,128,3.0
270,1065,2020,1,Friends,149,3.0
271,190,2021,2,Family,110,4.0
272,612,2024,2,Couples,105,3.0
273,333,2020,9,Solo,132,4.0
274,1002,2022,3,Family,147,3.0
275,1447,2023,3,Friends,111,4.0
276,1937,2021,4,Friends,44,4.0
277,779,2020,3,Business,97,4.0
278,1727,2023,11,Friends,36,3.0
279,430,2019,2,Couples,76,2.0
280,1561,2020,3,Friends,67,3.0
281,1126,2021,3,Friends,149,5.0
282,1517,2020,2,Friends,84,4.0
283,1512,2022,4,Solo,144,3.0
284,1065,2022,3,Family,122,4.0
285,515,2024,5,Couples,128,4.0
286,1053,2022,2,Family,26,4.0
287,1654,2022,12,Family,117,4.0
288,1942,2023,10,Couples,38,4.0
289,1856,2020,8,Couples,87,4.0
290,363,2021,8,Family,73,5.0
291,1195,2023,9,Friends,39,3.0
292,210,2020,12,Family,148,3.0
293,1338,2020,2,Friends,132,5.0
294,1985,2020,7,Family,87,4.0
295,106,2024,3,SOLO,2,5.0
296,1314,2021,6,Friends,28,4.0
297,1892,2020,11,Couples,35,4.0
298,1695,2023,8,Family,146,3.0
299,785,2024,8,Solo,61,2.0
300,208,2019,2,Solo,8,
301,1848,2024,10,Family,88,3.0
302,1843,2023,9,Friends,143,4.0
303,1158,2024,5,Solo,85,4.0
304,1958,2019,5,Couples,67,4.0
305,10,2019,7,Family,27,4.0
306,1234,2021,10,Friends,132,4.0
307,78,2024,7,Business,16,4.0
308,1872,2021,11,Friends,141,4.0
309,1361,2023,3,Couples,34,4.0
310,1827,2020,9,Family,21,3.0
311,1126,2021,10,Couples,53,4.0
312,167,2024,9,Friends,1,4.0
313,54,2021,5,Couples,3,4.0
314,672,2023,6,Family,28,4.0
315,1487,2022,6,Couples,104,3.0
316,303,2020,4,Business,123,3.0
317,1705,2024,2,Friends,38,3.0
318,479,2024,3,Couples,97,4.0
319,993,2023,8,Couples,53,4.0
320,407,2021,3,Business,65,4.0
321,932,2021,10,Family,51,3.0
322,905,2020,10,Couples,134,4.0
323,11,2022,5,Family,77,4.0
324,1136,2020,5,Friends,76,3.0
325,1574,2020,12,Business,129,3.0
326,1873,2019,1,Couples,99,4.0
327,662,2021,4,Couples,23,3.0
328,1762,2023,9,Friends,29,3.0
329,1758,2023,11,Business,52,5.0
330,1977,2024,6,Friends,15,4.0
331,747,2022,9,Solo,104,3.0
332,1702,2024,3,Business,75,3.0
333,1131,2023,12,Couples,7,4.0
334,117,2023,7,Friends,61,4.0
335,541,2022,9,Solo,125,3.0
336,1345,2019,3,Couples,137,4.0
337,322,2021,6,Family,145,4.0
338,870,2024,9,Friends,139,3.0
339,1550,2023,5,Family,92,4.0
340,300,2019,12,Family,140,4.0
341,994,2019,10,Family,144,4.0
342,430,2022,2,Solo,96,3.0
343,1073,2024,11,FAMILY,62,5.0
344,482,2023,5,Family,145,3.0
345,1931,2024,8,Family,63,4.0
346,154,2019,5,Couples,25,4.0
347,1928,2024,9,Family,16,4.0
348,1584,2019,6,Business,86,4.0
349,1712,2024,6,Family,6,3.0
350,1704,2024,7,Family,18,3.0
351,376,2022,3,Friends,37,4.0
352,1863,2022,6,Friends,80,3.0
353,1189,2021,1,Family,72,5.0
354,1925,2022,1,Family,77,
355,1757,2023,8,Couples,77,5.0
356,1160,2020,4,Couples,150,5.0
357,749,2020,9,Business,33,4.0
358,235,2024,10,Business,72,3.0
359,203,2024,8,FRIENDS,92,3.0
360,780,2022,6,Solo,42,3.0
361,1622,2020,7,Family,28,4.0
362,1011,2024,10,Business,7,2.0
363,964,2024,5,Business,49,3.0
364,489,2020,6,BUSINESS,39,3.0
365,1129,2022,3,Friends,30,5.0
366,1277,2021,3,Family,41,5.0
367,1965,2024,1,Friends,105,3.0
368,1459,2023,1,Couples,125,3.0
369,1215,2021,2,Family,78,4.0
370,1821,2024,10,Family,10,4.0
371,850,2022,8,Business,111,4.0
372,1870,2021,2,Family,23,4.0
373,740,2024,10,Friends,9,3.0
374,256,2021,10,Business,86,3.0
375,836,2021,11,Business,64,3.0
376,258,2021,12,Family,47,4.0
377,237,2020,2,Solo,146,3.0
378,1763,2020,7,Solo,14,2.0
379,1590,2019,10,Business,9,3.0
380,443,2023,3,Friends,89,4.0
381,1676,2022,8,Friends,63,3.0
382,138,2024,2,Friends,121,4.0
383,569,2022,4,Business,7,2.0
384,1413,2019,12,Solo,63,3.0
385,608,2022,9,Friends,22,4.0
386,1462,2020,4,Family,7,4.0
387,1749,2019,12,Business,70,3.0
388,133,2022,3,COUPLES,111,4.0
389,48,2019,5,Couples,24,4.0
390,1881,2021,6,Friends,127,4.0
391,1041,2024,8,Friends,78,5.0
392,1013,2020,4,Solo,73,3.0
393,928,2023,4,Family,139,4.0
394,868,2021,9,Solo,50,4.0
395,1381,2019,3,Friends,31,3.0
396,1160,2020,2,Business,118,3.0
397,327,2019,2,Couples,17,4.0
398,1254,2019,4,Friends,131,3.0
399,1337,2019,1,Family,124,3.0
400,228,2024,1,Couples,147,3.0
401,754,2023,9,Friends,70,4.0
402,1582,2021,7,Couples,94,4.0
403,1238,2023,2,Family,133,5.0
404,273,2020,4,Solo,20,3.0
405,81,2022,9,Couples,46,4.0
406,1163,2020,10,Business,71,3.0
407,924,2022,11,Family,95,3.0
408,1923,2021,3,Friends,102,5.0
409,1045,2024,11,Couples,139,4.0
410,1863,2024,6,Family,74,3.0
411,429,2021,4,Family,26,4.0
412,895,2019,7,Friends,29,5.0
413,280,2020,2,Family,121,3.0
414,1149,2020,6,Couples,70,4.0
415,377,2021,6,Couples,95,5.0
416,985,2022,8,Couples,85,4.0
417,689,2024,3,Business,122,3.0
418,372,2019,1,Business,33,3.0
419,194,2022,5,Friends,26,3.0
420,1025,2020,12,Friends,111,3.0
421,1895,2022,7,Couples,66,4.0
422,398,2022,7,Friends,123,3.0
423,810,2023,8,Family,20,3.0
424,450,2022,7,Friends,41,4.0
425,1618,2020,3,Friends,145,4.0
426,830,2024,12,Couples,127,5.0
427,1949,2021,3,Family,10,
428,491,2021,8,Couples,123,3.0
429,162,2022,11,Solo,10,4.0
430,1166,2020,8,Couples,19,4.0
431,1304,2024,12,Family,135,3.0
432,1982,2019,3,Couples,19,5.0
433,1743,2019,8,Couples,46,3.0
434,1769,2024,2,Couples,21,4.0
435,1269,2021,7,Friends,90,3.0
436,720,2024,3,Couples,9,
437,859,2024,8,Couples,44,4.0
438,268,2024,4,Business,49,3.0
439,863,2023,2,Couples,98,4.0
440,729,2023,11,Couples,75,4.0
441,72,2022,11,Family,29,5.0
442,409,2023,3,Family,70,4.0
443,1070,2020,3,Solo,69,2.0
444,739,2023,1,Family,54,
445,1988,2020,9,Business,81,3.0
446,958,2021,11,Friends,49,3.0
447,1918,2021,3,Business,51,3.0
448,1322,2023,6,Friends,118,2.0
449,81,2020,9,Family,38,4.0
450,407,2020,6,BUSINESS,50,3.0
451,1412,2023,10,Solo,22,4.0
452,1091,2021,10,Family,105,3.0
453,604,2023,9,Friends,106,3.0
454,1045,2024,9,Family,102,3.0
455,1806,2024,6,FAMILY,26,4.0
456,778,2021,5,Couples,68,3.0
457,91,2020,8,Couples,44,5.0
458,622,2024,2,Friends,115,3.0
459,1872,2020,8,Business,51,4.0
460,1524,2023,1,Family,63,4.0
461,1675,2023,9,Couples,69,3.0
462,1824,2021,8,Family,115,3.0
463,236,2019,6,Couples,106,3.0
464,566,2021,4,Couples,123,4.0
465,120,2019,7,Family,65,3.0
466,10,2021,8,Friends,123,3.0
467,1670,2021,9,Solo,131,4.0
468,1874,2022,12,Couples,79,4.0
469,312,2020,3,Family,102,3.0
470,1445,2024,1,Couples,137,3.0
471,1070,2019,8,Family,126,3.0
472,139,2024,2,Couples,42,3.0
473,1832,2020,2,Business,108,2.0
474,1743,2021,4,Family,67,4.0
475,1135,2024,9,Business,23,4.0
476,1416,2022,1,Business,56,2.0
477,795,2019,5,Friends,147,4.0
478,1586,2022,2,Friends,144,4.0
479,891,2022,11,Family,118,4.0
480,1979,2024,10,Business,149,4.0
481,127,2022,2,Couples,86,4.0
482,345,2024,4,Couples,114,2.0
483,1938,2022,6,Friends,25,4.0
484,578,2020,6,Friends,45,4.0
485,622,2022,3,Couples,26,4.0
486,1583,2024,6,FAMILY,141,4.0
487,379,2019,11,Couples,93,4.0
488,1028,2021,3,Friends,140,3.0
489,573,2019,2,Couples,63,4.0
490,396,2024,5,Friends,61,3.0
491,1929,2022,6,Friends,102,4.0
492,400,2023,4,Couples,86,3.0
493,189,2024,2,Friends,56,3.0
494,1348,2023,2,Friends,48,3.0
495,1735,2021,10,Family,77,5.0
496,255,2024,2,Business,12,3.0
497,1416,2021,4,Couples,29,3.0
498,1082,2024,10,Business,7,3.0
499,1661,2024,8,Family,24,4.0
500,254,2020,1,Couples,30,4.0
501,1952,2023,3,Friends,12,4.0
502,1239,2023,6,Family,9,4.0
503,1685,2023,5,Family,123,3.0
504,724,2020,12,Solo,28,3.0
505,1887,2022,2,Family,84,3.0
506,1253,2019,1,Couples,15,4.0
507,254,2024,7,Solo,143,4.0
508,1846,2024,12,Family,36,3.0
509,1592,2022,1,Family,113,5.0
510,601,2019,10,Couples,97,4.0
511,1092,2022,12,Family,116,2.0
512,777,2021,5,Friends,95,4.0
513,1087,2023,5,Family,77,5.0
514,1931,2019,12,Couples,116,2.0
515,1798,2021,8,Solo,123,4.0
516,432,2021,7,Family,57,3.0
517,1944,2024,4,Friends,142,3.0
518,876,2020,12,Business,149,
519,1410,2024,4,Family,109,4.0
520,1529,2024,5,Solo,140,4.0
521,966,2022,11,Family,16,4.0
522,914,2020,7,Business,82,3.0
523,913,2020,10,FRIENDS,98,4.0
524,1726,2019,12,Business,140,2.0
525,773,2023,8,Couples,19,5.0
526,560,2023,2,Couples,121,5.0
527,724,2020,10,COUPLES,12,5.0
528,390,2023,8,Business,54,4.0
529,784,2022,3,Family,104,3.0
530,229,2023,2,Friends,44,4.0
531,180,2019,12,Couples,126,4.0
532,1448,2020,2,Family,140,4.0
533,155,2023,6,Family,24,3.0
534,1137,2021,12,Solo,39,3.0
535,1560,2024,11,Friends,12,3.0
536,1449,2024,11,Solo,107,3.0
537,893,2019,9,Friends,133,3.0
538,388,2021,6,FAMILY,91,4.0
539,1862,2023,4,Business,20,3.0
540,1671,2019,11,Friends,27,3.0
541,1225,2024,7,Friends,6,3.0
542,174,2019,5,Couples,74,3.0
543,71,2019,12,Couples,109,
544,631,2022,5,Family,23,4.0
545,316,2020,1,Couples,128,4.0
546,1721,2022,8,Solo,38,3.0
547,412,2021,6,Couples,78,4.0
548,566,2020,8,Couples,101,4.0
549,1952,2024,8,BUSINESS,81,3.0
550,1637,2019,8,Family,72,4.0
551,438,2021,5,FRIENDS,51,3.0
552,768,2020,4,Family,65,4.0
553,1032,2019,4,Couples,36,4.0
554,1329,2020,12,Solo,45,3.0
555,1873,2020,9,Couples,114,3.0
556,1743,2021,5,BUSINESS,133,3.0
557,1955,2021,11,Couples,128,4.0
558,82,2019,10,Family,50,3.0
559,473,2019,7,Family,49,3.0
560,1127,2019,10,Family,9,4.0
561,99,2022,12,Business,42,4.0
562,711,2024,7,Friends,88,
563,308,2019,2,Couples,41,3.0
564,1866,2019,6,Couples,111,4.0
565,127,2023,3,Family,8,5.0
566,297,2023,9,Family,62,5.0
567,391,2023,2,Solo,43,3.0
568,298,2020,6,Family,75,3.0
569,1138,2024,6,Couples,4,4.0
570,729,2022,5,Solo,63,4.0
571,1825,2019,8,Family,119,4.0
572,522,2019,7,Family,129,3.0
573,1075,2022,3,Business,39,3.0
574,1321,2023,10,Couples,65,4.0
575,1252,2023,6,Solo,104,4.0
576,1593,2022,2,Solo,70,3.0
577,404,2022,9,Solo,82,5.0
578,1015,2023,5,Friends,52,4.0
579,1602,2019,8,Family,126,4.0
580,1727,2021,10,Family,95,3.0
581,1236,2019,8,Business,145,2.0
582,1304,2024,12,Friends,117,3.0
583,1729,2022,8,Friends,56,4.0
584,1250,2023,5,Friends,50,5.0
585,1898,2021,12,Couples,14,4.0
586,256,2024,7,Couples,94,4.0
587,696,2024,9,Friends,113,3.0
588,225,2022,4,Solo,54,3.0
589,182,2024,11,Family,4,4.0
590,944,2022,12,Business,124,2.0
591,452,2023,12,Solo,34,4.0
592,815,2020,5,Family,88,3.0
593,876,2024,11,Family,8,5.0
594,1242,2020,9,Solo,10,3.0
595,1892,2023,2,Family,135,3.0
596,1699,2022,12,Family,101,4.0
597,757,2019,7,Friends,1,4.0
598,652,2023,7,Family,16,4.0
599,1542,2019,5,Couples,74,3.0
600,248,2022,11,Couples,103,4.0
601,1081,2023,2,Friends,64,4.0
602,847,2019,5,Couples,131,4.0
603,366,2021,7,Solo,98,4.0
604,1233,2022,3,Family,93,3.0
605,642,2024,3,Family,44,4.0
606,372,2021,8,Business,103,4.0
607,1307,2019,7,Family,132,4.0
608,349,2019,10,Couples,8,5.0
609,1346,2020,10,Friends,111,4.0
610,325,2024,1,Business,132,3.0
611,870,2023,5,Family,65,3.0
612,1616,2021,11,Friends,115,3.0
613,458,2024,12,Family,54,4.0
614,1536,2024,2,Friends,29,4.0
615,1444,2024,10,FRIENDS,123,4.0
616,1806,2019,3,Family,47,3.0
617,338,2019,10,COUPLES,114,4.0
618,1431,2023,6,Couples,48,4.0
619,1874,2021,2,Business,60,5.0
620,1527,2019,3,Couples,103,4.0
621,376,2022,12,Family,52,4.0
622,1645,2021,10,Friends,122,2.0
623,215,2024,1,Family,6,3.0
624,1178,2022,12,Couples,2,4.0
625,996,2020,11,Friends,13,3.0
626,1063,2024,7,Family,39,4.0
627,1040,2022,1,Couples,9,4.0
628,63,2020,6,Business,58,3.0
629,1017,2019,2,Friends,4,3.0
630,1874,2022,5,Family,114,4.0
631,874,2023,4,Family,23,4.0
632,554,2024,9,Friends,146,5.0
633,1990,2019,9,FAMILY,129,4.0
634,198,2021,3,COUPLES,105,2.0
635,973,2024,11,Family,120,4.0
636,1026,2022,9,Business,117,4.0
637,956,2019,8,Couples,127,5.0
638,1844,2024,10,Family,84,4.0
639,844,2023,9,Business,94,3.0
640,1947,2021,10,Friends,71,4.0
641,134,2023,4,BUSINESS,94,2.0
642,1468,2022,9,Couples,58,3.0
643,1186,2020,12,Family,19,4.0
644,482,2023,10,Family,140,4.0
645,456,2020,5,Couples,105,4.0
646,1440,2020,8,Friends,106,4.0
647,1276,2022,11,Family,43,4.0
648,1223,2019,8,Couples,116,3.0
649,102,2022,10,Business,78,4.0
650,1196,2022,11,Solo,12,4.0
651,1963,2023,5,Family,144,4.0
652,35,2019,5,Couples,149,3.0
653,939,2022,5,Couples,131,4.0
654,989,2021,5,Family,72,4.0
655,1794,2020,9,Couples,35,3.0
656,566,2021,6,Couples,2,5.0
657,952,2024,12,Friends,111,3.0
658,1435,2023,9,Friends,134,3.0
659,121,2019,9,Couples,16,3.0
660,1603,2024,12,Couples,103,4.0
661,1645,2022,11,Couples,5,4.0
662,1440,2019,1,Solo,117,4.0
663,1297,2024,12,FAMILY,5,4.0
664,1496,2022,11,Couples,147,4.0
665,1564,2024,4,Family,26,3.0
666,1807,2019,3,Family,61,3.0
667,857,2020,7,Business,105,3.0
668,913,2024,12,Solo,127,4.0
669,1276,2020,8,Business,55,3.0
670,387,2022,7,Family,148,4.0
671,1713,2022,3,Family,3,4.0
672,1542,2024,11,Family,71,4.0
673,1263,2021,10,Business,149,4.0
674,604,2023,1,Family,42,4.0
675,696,2023,4,Friends,81,4.0
676,870,2023,11,Friends,67,5.0
677,1326,2022,9,Couples,60,4.0
678,1557,2019,5,Business,116,4.0
679,1344,2020,7,Solo,78,3.0
680,1860,2022,2,Family,108,4.0
681,1922,2021,11,Family,78,4.0
682,1410,2020,8,Friends,150,3.0
683,742,2023,7,Couples,71,4.0
684,1199,2021,8,Solo,120,3.0
685,851,2023,8,Family,92,4.0
686,1259,2022,6,Friends,121,3.0
687,1625,2021,3,Family,133,4.0
688,739,2019,6,FRIENDS,34,3.0
689,1012,2019,10,COUPLES,46,4.0
690,92,2022,1,Business,46,3.0
691,1474,2021,5,Couples,74,3.0
692,980,2023,10,Friends,74,3.0
693,920,2022,7,Family,1,3.0
694,1065,2020,1,Family,135,2.0
695,431,2023,11,Couples,129,3.0
696,1196,2022,1,Family,91,4.0
697,1491,2024,6,Family,46,4.0
698,700,2024,2,Family,124,3.0
699,263,2024,4,Friends,41,3.0
700,774,2019,5,Couples,46,5.0
701,398,2022,4,Family,150,4.0
702,748,2019,11,Couples,139,4.0
703,1254,2024,7,Couples,88,3.0
704,227,2023,5,Couples,26,5.0
705,1495,2020,4,Friends,19,3.0
706,450,2022,6,Business,145,3.0
707,1790,2022,5,Couples,40,3.0
708,1465,2022,10,Family,103,4.0
709,546,2022,3,Family,53,4.0
710,1127,2024,9,Friends,75,4.0
711,222,2023,6,Friends,148,3.0
712,200,2021,4,Family,89,3.0
713,1913,2023,6,Couples,65,5.0
714,1605,2019,2,Business,63,4.0
715,309,2020,7,Couples,35,4.0
716,566,2019,9,Family,84,3.0
717,396,2024,8,Business,86,3.0
718,791,2019,1,Friends,15,4.0
719,583,2024,8,Solo,61,
720,657,2023,1,Friends,97,4.0
721,1059,2024,5,Family,9,3.0
722,379,2023,8,FRIENDS,147,3.0
723,1766,2021,11,Couples,130,5.0
724,1456,2023,12,Solo,96,3.0
725,1522,2024,7,Couples,3,2.0
726,339,2024,3,Family,78,
727,1417,2023,10,Business,135,3.0
